"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"378","부안군청","대학생학자금대출이자지원","지자체","학자금","지역연고","제한없음","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","한국장학재단에서 받은 학자금의 대출이자2019년 1월 1일 이후 대출금액에 대해서 2023년 상상반기 이자발생 분","부안지역 대학생","부안군 학자금 대출 이자지원 공고일 현재 1년 전부터 부모 모두 연속하여 부안군에 주민등록이 되어 있는 사람부모의 사망 경우에는 학생 본인을 기준으로 1년 전부터 부안군에 주민등록이 되어 있는 사람","해당없음","해당없음","생활비 대출 제외국가 및 다른 지방자치단체 등의 다른 기관에서부터 학자금 대출이자 명목으로 장학금 또는 학자금 대출이자 전액을 지원 받고 있는 경우 제외","해당없음","대학생 학자금 대출이자 지원 신청서개인정보제공동의서재학증명서가족관계증명서(부 또는 모)주민등록 초본(부모 모두 최근5년)","www.buan.go.kr","2023-09-26","2023-10-26"
"379","(재)고창군장학재단","장학생(성적우수)","지자체","장학금","지역연고","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/전문대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : '23-1학기 전 과목 평점 평균 90점 이상재학생 : 전년도 2학기와 '23-1학기 전과목 평점 평균 90점 이상 * 계절학기 제외","해당없음","1500000원","2년제 포함 대학생"," * 고창지역 고등학교 졸업생본인 또는 보호자의 주민등록이 1년이상 계속하여 고창군으로 되어 있는 학생 * 고창지역 외 고등학교 졸업생의 경우 3년 이상 계속 거주","성적 60% 생활정도 40% * 자세한 사항은 첨부파일 참고","20명","사이버대학 폴리텍대학 방송통신대학 재학생징계처분 받은 자 * 자세한 사항은 첨부파일 참조","해당없음","장학생 신청서개인정보제공동의 및 활용승낙서주소확인 증빙서류통장사본재학증명서성적증명서고등학교 졸업증명서2학기 등록금 영수증중복지원 방지 및 상환서약서 * 자세한 사항은 첨부파일 참조","http://www.gochang.go.kr","2023-10-30","2023-11-15"
"380","전라북도 고창군청","학자금대출 이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","한국장학재단에서 받은 학자금 대출의 2023년도 이자발생분 * 개인별 입금조치 없음","2017년 8월 1일 이후 한국장학재단에서 학자금 대출을 실행한 자","대출 신청기준일 현재 부모가 2년이상 고창군에 주민등록이 되어 있는 사람부모의 사망의 경우 학생본인 또는 1명 이상의 직계존속이 2년 이상 고창군에 주민등록이 되어 있는 사람","해당없음","해당없음","허위사실 또는 이중으로 지원받은 경우지원대상 대학생과 부모 및 모두 타 시군으로 전출한 경우지원대상자로 확정된 후 주소 변경 등으로 그 요건을 상실한 경우고등교육기관에서 제적된 경우 * 국가 다른 지방자치단체 법인 등 다른 기관으로부터 학자금이자지원 시 지원제외 ※ 자세한 사항은 기관으로 문의","해당없음","지원 신청서개인정보 수집·이용 및 제3자 제공·조회 동의서재학(휴학)증명서부 또는 모의 주민등록초본본인과 부모의 관계 확인서류(주민등록등본 또는 가족관계증명서 등) * 자세한 사항은 첨부파일 참조","http://www.gochang.go.kr","2023-10-04","2023-10-31"
"381","군산시청","대학생학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2016년 1학기 이후 대출금의 2023년 하반기 발생이자 지원","한국장학재단으로부터 2016년 1학기 이후 학자금(생활비 제외) 대출을 받은 재학생(휴학생 포함) 중 대출 잔액이 있는 자","군산시에 주민등록을 두고 있는 전국 대학생신청일 기준 관내 주민등록이 되어 있는 전국대학 재(휴)학생","심의위원회 심사를 통해 선발","해당없음","졸업생 대학원생 생활비 대출금 발생이자타 지자체 등으로 부터 동일 건에 대한 이자지원을 받고 있는 자한국장학재단에서 대출자료 추출 시 학자금 전액 상환자는 지원 불가","해당없음","신청서 1부재학증명서 1부행정정보 공동이용 사전동의서 * 온라인신청 : 군산시 홈페이지(http://www.gunsan.go.kr) * 온라인 신청시 구비서류의 주민등록번호 뒷자리를 보이지 않게 처리 후 스캔파일 업로드","http://www.gunsan.go.kr/","2024-01-15","2024-02-19"
"382","익산시청","학자금 대출이자 지원","관계부처","학자금","지역연고","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)/제한없음/학점은행제 대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","□ 2017년 1월 1일부터 한국장학재단에서 대출받은 학자금(등록금/생활비)의 2023년 하반기 (2023-07-01 ~ 2023-12-31) 발생이자 전액","□ 익산시에 주민등록 주소를 둔 전국대학생 중 2017년부터 한국장학재단으로부터 학자금(등록금 생활비) 대출을 받은 대학(원)생","□ 공고일 현재 익산시에 주민등록 주소를 둔 전국 대학(원)생   (전국 어느 대학에 다니든지 모두 지원 가능)","□ 1순위 : 기초생활수급자 및 차상위계층□ 2순위 : 한국장학재단 학자금 지원구간이 낮은 단계 순","해당없음","□ 국가/ 지방자치단체/ 기업체 등 다른 기관으로부터 학자금 대출이자 명목으로 장학금 또는 학자금 이자 전액을 지원받고 있는 자□ 익산시 외 지역으로 전출자□ 고등교육기관에서 제적된 자□ 한국장학재단 대출자료 추출시 대출 전액 상환자□ 휴학생/ 졸업생 제외(24년 2월 졸업생 포함)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","□ 주민등록초본□ 재학증명서※ 온라인 접수 (익산시 홈페이지 통합예약인터넷접수대학생 학자금 이자지원)※ 자세한 사항은 홈페이지 참고 또는 문의처로 문의 바람","http://www.iksan.go.kr","2024-03-18","2024-04-01"
"383","진안군청","대학생학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","□ 현재 재학 중인 대학교에서 대출받은 학자금 이자에 대하여 지원 (2016년∼2024년 1학기까지 대출받은 학자금의 이자발생액 전부)","□ 진안지역 대학생","□ 학자금 대출 신청일 기준 부모가 2년 이상 진안군에 주민등록이 되어 있는 사람□ 부모가 사망한 경우 학생 본인 또는 직계존속이 2년 이상 진안군에 주민등록이 되어 있는 사람","□ 방문접수","해당없음","□ 대학원생/ 대학졸업/ 수료/ 제적 등□ 국가/ 다른 지방자치단체/ 법인 등 다른 기관으로부터 학자금 이자 지원을 받고 있는 사람은 지원 대상에서 제외","해당없음","□ 이자지원 신청서□ 주민등록초본(부또는모)□ 재학증명서□ 개인정보 활용 동의서□ 가족관계증명서※ 주민등록 소재지 읍·면사무소로 제출","www.jinan.go.kr","2024-04-01","2024-04-30"
"384","정읍시청","대학생학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2023-01-01 ~ 2023-6-30까지 발생한 이자","한국장학재단에서 2017년부터 대학생 학자금 대출을 받은 자 (생활비 제외)","신청일 기준 현재 정읍시에 주민등록이 되어있는 대학생","해당없음","해당없음","해당없음","해당없음","정읍시청 홈페이지-시민마당-대학생학자금 이자지원 양식 다운로드 후 메일 제출","www.jeongup.go.kr","2023-10-04","2023-10-31"
"385","전라북도 장수군청","대학생학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","이자액 전액지원 * 지원기간: 대상자로 확정된 해당 학기(예산의 범위 내)","한국장학재단의 일반상환 취업 후 상환 학자금 대출자2012. 1. 1. 이후 한국장학재단을 통해 대학생 학자금(등록금) 대출을 받은 학생생  * 자세한 사항은 첨부파일 참고","학자금 대출 신청공고일 현재 2년 이상 부모 중 1인 또는 학생이 전라북도 장수군에 주소를 둔 자","해당없음","00명","지원대상 대학생과 부모 모두 타 시군으로 전출한 경우지원대상자로 확정된 후 주소 변경 등으로 그 요건을 상실한 경우고등교육기관에서 제적된 경우허위사실 또는 중복으로 지원받은 경우대학휴학 기간 동안은 이자지원 제외(재학중 군 입대기간은 이자지원) ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","2023년 대학생 학자금(등록금) 대출이자 지원 신청서개인(신용)정보 수집·이용 및 제공·조회 동의서주민등록초본재학증명서가족관계증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.jangsu.go.kr/index.jangsu","2023-11-03","2023-11-10"
"386","무주군장학재단(무주군청)","학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2017년부터 한국장학재단에서 받은 학자금(등록금) 대출의 23년도 하반기 및 2024년 상반기 발생이자 전액지원 * 취업 후 상환학자금 및 일반상환 학자금","한국장학재단에서 학자금 대출을 받은 대학생","공고일 기준 부 또는 모가 2년 이상 무주군에 주민등록이 되어 있는 대학생. 다만 부모가 모두 사망한 경우 학생 본인을 기준으로 2년 이상 무주군에 주민등록이 되어 있는 대학생","해당없음","해당없음","국가 다른 지자체 법인 등 다른 기관으로부터 학자금 이자지원을 받고 있는 사람은 지원 대상에서 제외휴학기간(군복무로 인한 휴학기간은 제외)이 6학기를 초과하지 않은 대학생졸업생 대학원생 제외","해당없음","신청서개인정보 수집·이용 및 제공 동의서주민등록등본(학생과 부모 주소가 다를 때 가족관계증명서)재학증명서  ※ 방문신청 또는 무주군 홈페이지 온라인 신청","https://www.muju.go.kr/","2024-04-01","2024-04-30"
"387","전라북도 남원시청","대학생학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","□ 2023년 2학기 학자금 대출 이자 발생액","□ 2016년(1/2학기)부터 한국장학재단에서 학자금(등록금)을 대출 받은 대학 재학생 또는 복학예정자 ","□ 신청접수 공고 기준일 현재 본인 또는 부/모가 남원시에 주민등록되어 있는 자","해당없음","해당없음","□ 졸업생/ 휴학생/ 대학원생 제외","해당없음","□ 신청서□ 재학증명서□ 주민등록등본□ 개인정보 활용동의서 ※ 재학증명서와 주민등록등본은 접수 기간 내 발급받은 문서로 첨부※ 자세한 사항은 홈페이지 참조","www.namwon.go.kr","2024-04-11","2024-05-09"
"388","전라북도 순창군청","학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2012년 1학기 이후 대출금의 2023년 발생이자   (2023.1.1~2023.6.30까지 발생한 이자액)","2012.1.1 이후 한국장학재단에서 학자금 대출을 받고 재학중인 대학생","본인 또는 부모 중 한명이 대출신청기준일 기준 순창군에 주민등록되어 있는 대학생","해당없음","해당없음","휴학생 졸업자 대학원생 제외","해당없음","신청서학생 부 또는 모 중 한명의 주민등록초본학생 기준의 가족관계증명서 (학생과 부모의 주소가 같지 않은 경우 해당자)신청인의 재학증명서개인정보 수집·이용 및 제공·조회 동의서 * 자세한 사항은 첨부파일 참고","www.sunchang.go.kr","2023-08-23","2023-09-22"
"389","전라북도 완주군청","대학생학자금대출이자지원","지자체","학자금","지역연고","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)/제한없음/학점은행제 대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2023년 1월 ~ 6월까지 발생한 이자 전액","2015-1학기 이후 한국장학재단을 통해 대출을 받은 취업후·일반상환학자금(등록금)을 지원받은 자대학에 재학중인 학생","이자지원 신청일 기준 부모가 1년이상 완주군에 주민등록이 되어 있는 사람(부모 사망시 본인)","해당없음","해당없음","졸업생 대학원생 제외","해당없음"," * 자세한 사항은 홈페이지 공지사항 참고","www.wanju.go.kr","2023-10-17","2023-11-17"
"390","전라남도 곡성군청","장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","□ 신입생정시입학생은 2024학년도 대학수능시험 결과 3등급 이상 영역이 2개 이상인 자수시입학생은 고등학교 3학년 성적이 백분율 환산 평균 60점 이상인 자□ 재학생 : 직전학년 평균성적 B학점 이상인자","해당없음","□ 최대 200만원(실 등록금 납부금액 지급)","□ 국내·외에 소재하고 있는 대학교에 신입생 또는 재학생□ 곡성 관내 초등학교나 중학교 또는 고등학교 졸업자","□ 본인 또는 부모가 공고일 현재 계속해서 1년 이상 곡성군에 주민등록을 두고 있어야 함","□ 입학생정시 : 고등학교 3학년 성적(10%) + 대학수능시험성적(60%) + 소득평가(30%)수시 : 고등학교 3학년 성적(70%)+ 소득평가(30%)□ 재학생 : 직전 학년 1학기 성적(35%)+ 직전 학년 2학기성적(35%)+ 소득평가(30%)","□ 120명","□ 국가로부터 등록금과 수업료가 면제되거나 전액을 지원받는 육·해·공사관학교/간호사관학교/경찰대학□ 평생교육법에 의한 사이버대학 및 사내대학□ 정규 학제 기간을 초과하여 재학 중인 대학생","해당없음","□ 공통제출서류 ㅇ 장학생 지원신청  ㅇ 주민등록등본 ㅇ 가족관계증명서 ㅇ 재학증명서 ㅇ 고등학교 졸업증명서 ㅇ 등록금(교육비) 납입증명서 ㅇ 건강보험료 납부 확인서 ㅇ 건강보험 자격확인서 ㅇ 신청인 서약서 ㅇ 통장사본□ 신입생 ㅇ 대학수능시험 성적표(정시) ㅇ 학교 생활기록부(수시)□ 재학생 ㅇ 직전학년 성적증명서※ 자세한 사항은 첨부자료 확인 필수","http://www.gokseong.go.kr/","2024-04-01","2024-04-30"
"391","전라남도 함평군청","함평군청인재양성기금(성적우수)","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","만점 성적 환산표'에 의한 직전학기 성적 환산점수 85점 이상 * 기초생활수급자의 경우 환산점수 75점 이상","해당없음","등록금 실납부액 전액","품행이 단정하고 학업성적 또는 재능이 우수한 학생2024년 국가장학금을 신청한 사람","군내 고등학교 졸업일(군내 고등학교 졸업자) 기준으로 이전 동안 3년 이상 계속하여 군에 주민등록상 주소를 두고 거주","성적평가 100% + 가산점 10% * 자세한 사항은 첨부파일 참고","25명 ","외국 소재 학교 또는 외국 학교의 국내 분교에 재학하는 학생국가 등으로부터 학비 등을 지원받는 학교에 재학하는 학생4년간 대학 등록금 전액 면제자정규 학제기간을 초과하여 재학 중인 대학생한국방송통신대 사이버대 학점은행제 등 유사대학 재학생 * 자세한 사항은 첨부파일 참고","읍면장 추천","인재양성기금 지원 신청서인재양성기금 지원대상자 추천서인재양성기금 신청자 실태조사 확인서개인정보 수집 이용 제공 및 조회 동의서서약서통장사본(본인명의)성적증명서관내 초중고 졸업(예정)증명서재학증명서 또는 합격증명서주민등록등본초본가족관계증명서등록금(교육비) 납입증명서(23-2학기)2023년 2학기 국가장학금 신청 증빙서류국가장학금 탈락사유 증빙서류  * 자세한 사항은 첨부파일 참고","https://www.hampyeong.go.kr/main.do","2024-03-13","2024-04-04"
"392","전라남도 함평군청","함평군청인재양성기금(특기자)","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","500000원","문화예술체육과학농업분야에 소질과 재능이 뛰어난 자 중  직전년도 도 단위 이상 공식 대회에서 입상한 경력이 있는 자","공고일 현재 주민등록법상 주소를 함평군에 3년 이상 둔 대학생","직전년도 도 단위 이상 공식대회 입상실적 고득점자순","12명(고등학생 포함 인원)","외국 소재 학교 또는 외국 학교의 국내 분교에 재학하는 학생국가 등으로부터 학비 등을 지원받는 학교에 재학하는 학생4년간 대학 등록금 전액 면제자정규 학제기간을 초과하여 재학 중인 대학생한국방송통신대 사이버대 학점은행제 등 유사대학 재학생 * 자세한 사항은 첨부파일 참고","읍면장 학교장 추천","인재양성기금 지원신청서인재양성기금 지원대상자 추천서인재양성기금 신청자 실태조사 확인서개인정보 수집이용제공 및 조회 동의서서약서통장사본재학증명서 또는 합격증명서주민등록등본초본2023년년도 도 단위 이상 공식대회 입상 상장 사본관내 초중고 졸업(예정) 증명서 (가산점 받고자 하는 경우) * 자세한 사항은 첨부파일 참고","https://www.hampyeong.go.kr/main.do","2024-03-13","2024-04-04"
"393","전라남도","지역중소기업 취업청년 학자금대출 상환지원","지자체","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학8학기이상/연령제한","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","월 최대 100000원 (연 최대 1200000원)대상자의 `24년 분기별 학자금대출 상환액(원금+이자)을 기준으로 지원액 산출","전라남도 소재 중소기업에 근무중인 청년으로 학자금대출금(일반 취업후 농어촌융자)을 상환하고 있는 자만 18세 이상 만 45세 이하인 자  ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","공고일 기준으로 본인의 주민등록상 주소지가 전라남도이며 실제로 거주하고 있는 자","소득액 및 가구원수를 고려하여 고득점순으로 선정","100여명 예산 범위 내 지급","국가나 지방자치단체 등으로부터 학자금 대출상환지원을 받는 자 제외(월 10만원 이내 지원받는 경우 차액 지원 가능)군복무자 및 군복무 대체근무자(산업기능요원 사회복무요원 등) 제외 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","청년 취업자 학자금대출 상환 지원 신청서주민등록등본가족관계증명서학자금대출 상환 확인서중소기업 확인서중소기업 근무 확인서류통장사본건강보험료 납부확인서건강보험료 자격확인(통보)서개인정보 수집·이용 및 제3자 제공 동의서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.jeonnam.go.kr/","2024-02-19","2024-04-08"
"394","전라남도 영광군청","영광군인재육성기금(학업우수)","지자체","장학금","지역연고","4년제(5~6년제포함)/기술대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","□ 신입생(수능응시) : 수능평균 3등급 이내□ 신입생(수능미응시) : 예체능 과목 제외한 고교 3학년 내신 성적 평균 3등급 이내 검정고시 합격자의 경우 평균 득점 80점 이상□ 재학생 : 직전학년 성적(1/2학기) 평균평점 B학점 이상※ 자세한 사항은 첨부파일 참고","해당없음","□ 200~300만원","□ 고등교육법 제2조 중 국내의 대학/ 산업대학/ 교육대학 및 전문대학에서 수학하고 있는 입학생 및 재학생□ 한학기 이수 과목 12학점 이상","□ 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자","※자세한 사항은 첨부파일 참고","□ 57명","□ 매학기 등록금 총액이 100만ㄴ원원원 이하인 대학에 재학중인 학생은 제외□ 가족당 1명만 지급. 단 다자녀(3명이상)의 경우 2명까지 지원 확대□ 영광군 인재육성장학금을 2회(단  전문대 1회/ 치대/의대/한의대/약대 등 6년제인 경우는 3회)이상 지원받은 자※ 자세한 사항은 첨부파일 참고","해당없음","□ 인재육성장학금 신청서□ 개인정보 수집/이용 및 제공/조회 동의서□ 주민등록등본□ 장학금 지급 통장 사본□ 가족관계증명서□ 직전학년 성적증명서(재학생)□ 대학수능성적증명서(수능응시자)□ 고등학교 3학년 생활기록부 또는 검정고시 성적표(수능미응시자)□ 재학(입학)증명서□ 고등학교 졸업증명서(영광군 소재 고등학교 졸업한 재학생)※ 자세한 사항은 첨부파일 참고","http://www.yeonggwang.go.kr/home","2024-03-27","2024-04-17"
"395","전라남도 영광군청","영광군인재육성기금(옥당골인재)","지자체","장학금","지역연고","4년제(5~6년제포함)/기술대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","□ 재학생: 옥당골 인재 장학생으로 선발된 학생 중 직전학년 성적 평균 B학점 이상인 학생 ※ 자세한 사항은 첨부파일 참고","해당없음","□ 200만원~300만원","□ 고등교육법 제2조 중 국내의 대학/ 산업대학/ 교육대학 및 전문대학에서 수학하고 있는 재학생□ 옥당골 인재장학생으로 기선발된 학생","□ 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자","해당없음","□ 3명","□ 가족당 1명만 지급 (단 다자녀(3명이상)의 경우 2명까지 지원 확대)□ 영광군 인재육성장학금을 2회(단 전문대 1회/ 치대/의대/한의대/약대 등 6년제인 경우는 3회)이상 지원받은 자□ 국가 등으로부터 학비 등을 지원 받는 학교□ 한 학기 이수 과목이 12학점 미만인 경우※ 자세한 사항은 첨부파일 참고","해당없음","□ 인재육성장학금 신청서□ 개인정보 수집이용 및 제공조회 동의서□ 주민등록등본□ 장학금 지급 통장 사본□ 가족관계증명서□ 직전학년 성적증명서(재학생)□ 대학수능성적증명서(수능응시자)□ 고등학교 3학년 생활기록부 또는 검정고시 성적표(수능미응시자)□ 재학(입학)증명서※ 자세한 사항은 첨부파일 참고","http://www.yeonggwang.go.kr/home","2024-03-27","2024-04-17"
"396","전라남도 영광군청","영광군인재육성기금(특기자)","지자체","장학금","특기자","4년제(5~6년제포함)/기술대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","예체능계열/인문계열","해당없음","해당없음","□ 200만원~300만원","평생교육법에 의한 사이버대학/ 사내 체육/문예 특기 대회 수상 : 직전학년 중 음악/ 미술/ 무용/ 체육/ 문학 등 예체능과 관련하여 국제대회/ 광역자치단체 이상의 단체나 기관에서 주관한 전국대회 또는 도 대회에서 3위 이내의 서적을 거둔 학생□ 고등교육법 제2조 중 국내의 대학/ 산업대학/ 교육대학 및 전문대학에서 수학하고 있는 입학생 및 재학생","□ 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자","해당없음","□ 체육특기 : 5명□ 문예특기 : 2명","□ 국가 등으로부터 학비 등을 지원받는 학교 및 평생교육법에 의한 사이버대학/ 사내대학 제외□ 한 학기 이수 과목이 12학점 미만인 경우□가족당 1명만 지급 (단 다자녀의 경우 2명까지 지원 확대)□ 영광군 인재육성장학금을 2회(단 전문대 1회/ 치대/의대/한의대/약대 등 6년제인 경우는 3회)이상 지원받은 자※ 자세한 사항은 첨부파일 참조","해당없음","□ 인재육성장학금 신청서□ 개인정보 수집 이용 및 제공 조회 동의서□ 주민등록등본□ 장학금 지급 통장 사본□ 가족관계증명서□ 재학(입학)증명서□ 고등학교 졸업증명서(영광군 소재 고등학교 졸업시)□ 입상증명서(상장 등)※ 자세한 사항은 첨부파일 참조","http://www.yeonggwang.go.kr/home","2024-03-27","2024-04-17"
"397","전라남도 영광군청","영광군인재육성기금(복지장학)","지자체","장학금","지역연고","4년제(5~6년제포함)/기술대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," □재학생 : 직전학년 성적(1-2학기) 평균평점 C학점 이상","□ 국민기초생활수급자 또는 차상위 계층 자녀□ 소득인정액 기준 중위소득 70% 이내의 건강보험료를 납부하는 가정","□ 200만원~300만원","해당없음","□ 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자","해당없음","□ 6명","□ 국가 등으로부터 학비 등을 지원받는 학교 및 평생교육법에 의한 사이버대학/사내대학 제외□ 가족당 1명만 지급 (단 다자녀의 경우 2명까지 지원 확대)□ 영광군 인재육성장학금을 2회(단 전문대 1회/ 치대/의대/한의대/약대 등 6년제인 경우는 3회)이상 지원받은 자□ 한 학기 이수 과목 12학점 미만인 자※ 자세한 사항은 첨부파일 참조","해당없음","□ 인재육성장학금 신청서□ 개인정보 수집이용 및 제공조회 동의서□ 주민등록등본□ 장학금 지급 통장 사본□ 가족관계증명서□ 직전학년 성적증명서(재학생)□ 재학(입학)증명서□ 건강보험료 납부확인서 및 건강보험 자격확인서□ 고등학교 졸업증명서(영광군 소재 고등학교 졸업자)※ 자세한 사항은 첨부파일 참고","http://www.yeonggwang.go.kr/home","2024-03-27","2024-04-17"
