"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"41","수협재단","수협 장학금","민간(기타)","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","법정사회보장대상자 또는 중위소득 100%이내에 해당하는 가구","1000000원 * 생활비 보조 성격 장학","국내 고등학교에 재학 중인 가정형편이 어려운 어업인 자녀고등학교 및 고등학교 학력이 인정되는 평생교육시설과 이와 동등한 학력이 인정되는 각종 학교 재학생","해당없음"," * 가정형편이 어려운 순으로 선발","OO명","수협 (상근) 임직원 (손)자녀 지원불가2024년 장학관 입사예정자 지원 불가(법정사회보장대상자는 제한 없음)1가구당 최대 1명지원 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","회원조합을 통해 신청 회원조합이 재단으로 추천","지원서자기소개서 또는 수학계획서개인정보 수집·이용 동의서수협과의 특수관계 부존재 확인서조합원 증명서주민등록등본가족관계증명서재학증명서 또는 합격증명서장학금 입금 통장사본기타 해당 서류 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.shfoundation.or.kr","2023-12-29","2024-01-24"
"42","굿패밀리복지재단","굿패밀리장학생","민간(기타)","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","해당없음","300000원","학업성적이 우수하고 성실하며 타의 모범이 되는 학생가정 사정으로 인해 학비조달이 어려운 학생","해당없음","해당없음","20명","1년 내 기수혜자"," * 아래 추천인 중 택1하여 추천서 제출대원교회 담당목회자 또는 교사교회목회자","장학금 신청서추천서성적증명서봉사활동확인서보호자의료납입증명서 또는 저소득층 증명서","http://goodfamily.or.kr/","2024-01-02","2024-01-26"
"43","한국장학재단","드림장학금","한국장학재단","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","2학년/3학년","ㅇ 신청 시점을 기준으로 고교 재학 중 직전학기까지 전체 학기 동안 이수한 국어 영어 수학 과학 한국사 사회 전문교과Ⅱ 과목 중 석차 3등급 이내 또는 성취도 A 이상인 과목들의 이수단위 합계가 24단위 이상(3학년) 또는 12단위 이상(2학년). 단 영어 과목은 석차 2등급 이내 또는 성취도 A 이상","ㅇ 신청일 기준 기초생활수급자 또는 차상위계층인 자","ㅇ 해외대학 진학을 위한 학업장려비월 500000원(2학년)월 700000원(3학년)","ㅇ 국내 고교 2 3학년 재학(예정)자 중 해외대학 입학을 희망하는 저소득층(기초생활수급자 차상위계층) 우수고등학생 ※ 2024년 2월 2025년 2월 졸업 예정자","해당없음","ㅇ 학업실적 발전가능성 유학에 대한 의지 등을 종합적으로 평가","ㅇ 30명 이내 선발","ㅇ 2년 이상 외국 학교에 재학하거나 거주한 자는 제외","해당없음","ㅇ 개인정보 동의서(증명서 명의자용)ㅇ 학교생활기록부ㅇ 자기소개서ㅇ 교사의견서 ※ 자세한 사항은 홈페이지 참고","https://www.kosaf.go.kr","2023-03-13","2023-04-11"
"44","한국장학재단","복권기금꿈사다리장학(꿈장학금)","한국장학재단","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","ㅇ 중1 직적 학년 최소기준 없음ㅇ 중2~고1 직전 학년 평균 D등급 이상ㅇ 고2~고3 직전 학년 평균 7등급 이내 또는 D등급 이상ㅇ 직전 학년 결석 10회 미만ㅇ 직전 학년 봉사활동실적 연간 10시간 이상","ㅇ 대한민국 국적을 가진 국내 중학교 및 고등학교(초중등교육법 제2조에 따른 학교) 재학 중인 학생으로 '국민기초생활수급자' '한부모가족보호대상자' 및 '법정 차상위 계층 가정' 중 하나에 해당하는 학생","ㅇ 학제별 25만원~45만원 장학금(카드포인트) 지급ㅇ 1:1 멘토링 지원ㅇ 진로·진학 맞춤 컨설팅 제공(고1고2 학생)ㅇ 멘토링캠프 (고2 학생)","ㅇ 대한민국 국적을 가지고 국내 중학교 및 고등학교(초중등교육법 제 2조에 따른 학교)에 재학중인 저소득층 가정의 학생으로 만 24세 이하에 해당하는 자ㅇ 학교에서 추천한 저소득층 가정의 우수 학생","해당없음","ㅇ 1단계 : 학교(학생)추천ㅇ 2단계 : 서류심사ㅇ 3단계 : 심층평가/최종선발(장학생 선발·관리위원회 심의 후 최종선발)","ㅇ 2000명(중학생 800명 고등학생 1200명)(시도별 별도 배정 인원 존재 및 학교별 최대 2인 추천 가능)","ㅇ 학교 폭력 가해 학생ㅇ 정부·지자체 및 공공기관의 타 계속 장학금 수혜중인 학생""ㅇ 교내 장학생 추천위원회 등의 심의를 통해 추천이 확정된 경우 소속 학교의 담당 교사(담임교사 장학 담당교사 학교 복지사 등)을 통해 신청 (학교장 직인 포함된 신청서 제출)","해당없음","ㅇ 가족관계증명서ㅇ 신청인 개인정보동의서ㅇ 학부모 개인정보동의서ㅇ 신청인 기본정보ㅇ 나의 꿈 도전계획서ㅇ 직전 학년 학교 생활기록부 ※ 자세한 사항은 한국장학재단 홈페이지 참고","https://www.kosaf.go.kr","2023-04-03","2023-04-21"
"45","한국장학재단","복권기금꿈사다리장학(SOS)","한국장학재단","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","ㅇ 긴급 구난사유* 해당하는 만24세 이하 학생 ※ 「긴급복지지원법」 제2조에 해당하거나 이에 준하는 긴급위기 상황 (본인 및 가구구성원의 중증질병 및 부상 / 주소득자의 사망·가출·행방불명 등 / 가정폭력 등 자세한 사항은 한국장학재단 홈페이지 참고)","ㅇ 월 30만원 장학금(카드포인트) 지급 ※ 선발 후 총 10개월간 한시적으로 지원","ㅇ 대한민국 국적을 가지고 국내 중학교 및 고등학교(초중등교육법 제 2조에 따른 학교)에 재학중인 학생으로 만 24세 이하에 해당하는 자 ㅇ 선발 자격요건을 갖춘 학생으로 긴급한 위기상황에 처했으나 학업을 지속할 의지가 있는 학생","해당없음","ㅇ 1단계 : 학교(학생)추천ㅇ 2단계 : 서류심사ㅇ 3단계 : 심층평가/최종선발","ㅇ 1000명 (1차 300명 2차 700명)ㅇ 학교별 신청인원 제한 없음","ㅇ 학교 폭력 가해 학생ㅇ 기존 SOS 장학생으로 선발된 이력이 있는 경우 재신청 불가ㅇ 꿈장학금과 중복신청 불가","ㅇ 소속 학교의 담당 교사(담임교사 장학 담당교사 학교 복지사 등)을 통해 신청 (학교장 직인 포함된 신청서 제출)","ㅇ 개인정보동의서ㅇ 신청인 기본정보ㅇ SOS 장학금 신청서ㅇ 직전 학년 학교생활기록부 ※ 자세한 사항은 한국장학재단 홈페이지 참고","https://www.kosaf.go.kr","2023-08-08","2023-09-01"
"46","한국장학재단","고교 취업연계 장려금","한국장학재단","장학금","기타","마이스터고/일반고","3학년","해당없음","해당없음","ㅇ 5000000원 ","ㅇ 대한민국 국적자로 고교 취업연계 장려금 신청한 자 ㅇ 직업계고 및 일반고 3학년 중 직업교육 위탁과정 6개월(180일)이상 참여 학생ㅇ 중소중견 기업에 취업(재직)이 확인된 자로 근 15시간 근무시간 이상인 자","해당없음","해당없음","해당없음","ㅇ 미졸업시 전액 반환 ","해당없음","ㅇ 법정대리인 동의서(일반고) 직업교육 위탁과정(6개월) 교육 증명서 제출중소중견기업확인서 또는 중소기업등기준검토표","https://www.kosaf.go.kr","2023-12-20","2023-12-28"
"47","한국장학재단","현장실습 지원금","한국장학재단","장학금","기타","마이스터고/일반고","3학년","해당없음","해당없음"," ㅇ 1일 기준 60000원 지원  ※ 예산소진시 지원불가  ※ 교육청 미참여시 30000원 지원 예산 상황에 따라 금액 일부 조정 가능  ","ㅇ (기본요건) 국내 직업계고 3학년 학생 중 현장실습 지원금을 신청한자(외국인 재학생 신청 가능)ㅇ (지원요건) 산업체 채용형 현장실습에 참여하고 '현장실습 표준협약서'를 작성한 현장 실습생","해당없음","해당없음","해당없음","해당없음","해당없음","해당없음","https://www.kosaf.go.kr","2023-09-11","2023-12-29"
"48","한국장학재단","교육급여 바우처","한국장학재단","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년","해당없음","해당없음","ㅇ 카드포인트 방식으로 교육 활동지원비 지급(학교급별 상이)","ㅇ (본인신청) 만 14세 이상 교육급여 수급 학생 본인ㅇ (대리신청) 1) 교육급여 신청인 2) 세대주 또는 성인 세대원원ㅇ (방문신청) 만 14세 이상 교육급여 수급 학생 본인 또는 보호자 ※ 관할 교육청을 통해 교육급여 수급자로 결정된 경우에 한하여 신청 가능(공통사항)","해당없음","해당없음","해당없음","해당없음","해당없음","해당없음","https://e-voucher.kosaf.go.kr","2023-03-02","2024-06-28"
"49","서울특별시 광진구청","일반장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","23학년도 1학기 내신성적 6등급 이내","생활이 곤란한 학생","1000000원","추천일 현재 계속하여 1년 이상(주민등록 기준) 광진구에 주소를 두고 있는 학생","추천일 현재 계속하여 1년 이상(주민등록 기준) 광진구에 주소를 두고 있는 학생","서류 접수 및 추천->부적격자 조사심사 및 선정->장학금 지급 및 수여식","15명","2022년 광진구 장학금 수혜자2023년 다른 지자체 민간단체로부터 장학금(학업장려금)을 받은 자","동장 추천 필요","장학생 신청서재학증명서2023년 1학기 성적증명서2022년 세목별 과세증명서주민등록 초본주민등록 등본건강보험납부확인서개인정보제공 동의서  *자세한 사항은 홈페이지 참조 ","https://gwangjin.go.kr","2023-07-13","2023-07-27"
"50","서울특별시 광진구청","성적우수장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","23학년도 1학기 내신성적 2등급 이내","해당없음","1000000원","추천일 현재 계속하여 1년 이상(주민등록 기준) 광진구에 주소를 두고 있는 학생","추천일 현재 계속하여 1년 이상(주민등록 기준) 광진구에 주소를 두고 있는 학생","서류 접수 및 추천->부적격자 조사심사 및 선정->장학금 지급 및 수여식","7명","2022년 광진구 장학금 수혜자2023년 다른 지자체. 민간단체로부터 장학금(학업장려금)을 받은 자 ","학교장 추천 필요","장학생 신청서재학증명서2023년 1학기 성적증명서2022년 세목별 과세증명서주민등록 초본주민등록 등본건강보험납부확인서개인정보제공 동의서 * 자세한 내용은 홈페이지 참조","https://gwangjin.go.kr","2023-07-13","2023-07-27"
"51","재단법인 강서구장학회(서울)","모범장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","해당없음","과목 평균 등급이 9등급 기준 4.0등급 이내인 자","해당없음","1000000원 (학업장려금)","품행이 단정하고 모범적인 고등학교 재학생","장학생 선발 공고일 현재 강서구에 1년 이상 계속 거주한 자","선발기준: 소득 성적 자녀수","23명","해당없음","학교장 추천","체크리스트장학생 신청서개인정보제공 동의서서약서자기소개서장학생 추천서(학교장)성적증명서주민등록등본부 또는 모 기준 가족관계증명서주민등록초본재학증명서전/월세 계약서건강보험 자격확인서 및 건강보험료 납부확인서 * 자세한 사항은 첨부파일 참고","http://janghak.gangseo.seoul.kr","2023-08-28","2023-09-08"
"52","재단법인 강서구장학회(서울)","특기장학생","지자체","장학금","지역연고","예술고/체육고","해당없음","해당없음","해당없음","1000000원","품행이 단정하고 모범적인 자수학 과학 체육 문화예술 기능 분야에서 국가 특별시·광역시·도 단위 이상 자치단체 등이 개최하는 전국 규모 이상의 대회에서 3위권 이내 입상한 자","장학생 선발 공고일 현재 강서구에 1년 이상 계속 거주한 자","해당없음","2명","해당없음","학교장 추천","장학생 신청서개인정보제공 동의서건강보험료 납부확인서 및 건강보험 자격확인서학생 주민등록초본재학증명서자기소개서성적증명서등록금 납부 영수증전월세 계약서 사본특기를 증명할 수 있는 서류* 자세한 내용은 첨부파일 참고","http://janghk.gangseo.seoul.kr","2023-03-13","2023-04-03"
"53","재단법인 강서구장학회(서울)","행복장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","2023년 1학기 학업 성적이 재적 학년 정원의 100분의 60 이내에 해당하는 자과목 평균 등급 9등급 기준 5.0 등급 이내","장학금 지원이 필요한 사회적 배려 대상 가구 내 고등학교 재학생","1000000원","고등학교 재학생","선발 공고일 현재 강서구에 1년 이상 계속 거주","소득  성적 자녀수 ㅅ","10명","2023년 강서구장학회 장학생으로 선발된 학생","학교장 추천","체크리스트 1부장학생 신청서 1부장학생 추천서 1부개인정보제공 동의서 1부서약서 1부자기소개서 1부건강보험 자격확인(통보)서 및 건강보험료 납부 확인서 각 1부주민등록등본(동거인 포함) 1부재학증명서 1부2023년 1학기 성적 증명서 1부학생 주민등록초본(주소 변동 이력 포함) 1부부 또는 모 기준 가족관계증명서(일반) 1부전월세 계약서 또는 무상임대차 계약서 사본 1부 * 자세한 사항은 홈페이지 및 첨부파일 참조조","http://janghk.gangseo.seoul.kr","2023-08-28","2023-09-08"
"54","서울특별시 성동구청","성적우수장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년","관내 중학교 성적 상위 5% 이내","해당없음","학업장려금 1000000원","2023년도 관내 고등학교 입학생","접수공고일을 기준으로 성동구에 주소를 두고 1년 이상 거주한 구민의 자녀 중 관내 고등학교 입학생 ","우선순위 없음(자격요건 해당자 전원 선발)","해당없음","추천일 현재 성동구 거주기간 1년 미만인 자국가 또는 지자체 학교 민간단체로부터 학비 전액을 받는 자","학교장의 추천 필요","학교장 추천서자기소개서개인정보제공동의서성적증명서(중학교 3학년)주민등록등본본 ※ 자세한 사항은 첨부파일 및 홈페이지 참고","http://www.sd.go.kr","2023-04-10","2023-04-25"
"55","서울특별시 성동구청","예체능특기장학생","지자체","장학금","지역연고","예술고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1000000원","2022년도 시·도 단위 이상의 예체능분야 공인대회 입상경력(3위 이내)이 있는 자","접수공고일을 기준으로 성동구에 주소를 두고 1년 이상 거주한 구민의 자녀","해당없음","해당없음","추천일 현재 성동구 거주기간 1년 미만인 자","해당없음","학교장 추천서자기소개서개인정보제공동의서상장 사본주민등록등본","http://www.sd.go.kr","2023-04-10","2023-04-25"
"56","서울특별시 성동구청","저소득장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음","건강보험료 기준 중위소득 72% 이내","학업장려금 1000000원","성동구 소재 고등학교 재학생 중 경제적 어려움으로 학업에 전념할 수 없는 교육환경에 처한 학생으로 학교장(동장) 추천을 받은 자 ","접수공고일을 기준으로 성동구에 주소를 두고 1년 이상 거주한 구민의 자녀 또는 성동구 소재 고등학교 재학생","예산의 범위보다 초과할 경우 생계곤란 정도 및 사회적 취약계층 순","해당없음","추천일 현재 성동구 거주기간 1년 미만인 자","학교장(동장) 추천","학교장 추천서 ※ 출결사항 기록자기소개서개인정보제공동의서건강보험료 납부확인서부모(가족)재산세 납세증명서성적증명서(참고용) ※ 입학생은 중학교 3학년주민등록등본","http://www.sd.go.kr","2023-04-10","2023-04-25"
"57","용산구청","꿈나무(성적우수장학생)","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","입학성적 또는 직전학기 성적이 재적학년 정원의 10% 이내인 자","해당없음","700000원","입학성적 또는 직전학기 성적이 재적학년 정원의 10% 이내인 자(학교 별 배정범위 안에서 선발)","공고일 현재 용산구 관내 주민등록자","해당없음","38명","당해연도 타기관 등에서 장학금 수혜를 받았거나 받을 예정인 자※ 자세한 사항은 기관 홈페이지 참조","학교장 추천"," * 재학하는 학교로 신청 자세한 사항은 홈페이지 내 공고 참조신청서자기소개서추천서성적증명서","http://www.yongsan.go.kr","2023-04-03","2023-04-14"
"58","용산구청","꿈나무(예체능특기)","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","700000원","음악 미술 체육 등 재능이 탁월하여 최근 2년 내 수상 경력이 있거나 또는 기타의 입증자료로 학교장이 인정하는 자","공고일 현재 용산구 관내 주민등록자","해당없음","10명","당해연도 타 기관 등에서 장학금 수혜를 받았거나 받을 예정인 자","재학중인 학교의 학교장 추천 필요 (타 지역 학교 학생은 학교장 추천을 받아 주소지 관할 동 주민센터에 신청)","신청서자기소개서추천서입상경력 등 입증서류 * 자세한 사항은 첨부파일 및 홈페이지 공고 참고 필수수","http://www.yongsan.go.kr","2023-04-03","2023-04-14"
"59","부산광역시 기장군청","특기장학금","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원","문화 예술 체육 과학 수학 영어 전산 기능 등 분야에서 시·도 단위 이상의 대회 및 경진대회에서 3위(단 전국대회 이상은 5위) 이상 입상한 고등학생(2022·2023년도 수상)  * 자세한 사항은 첨부파일 참조","읍·면장 추천일 기준 부모 또는 학생 본인이 주민등록상 연속하여 1년 이상 기장군에 계속 거주하고 있는 자","기장군 장학기금 설치 및 운용 조례 제 17조 및 시행규칙 제 5조에 의거 실태조사 결과에 따라 산정한 득점순으로 선발","30명","2020년 ~ 2022년 기장군 장학금을 받은 자 * 자세한 사항은 첨부파일 참조","해당없음","장학생 신청서(개인정보이용동의서 포함)재학증명서입상증명서(상장 대회요강 등)부모 또는 본인의 통장사본 * 자세한 사항은 첨부파일 참조","http://www.gijang.go.kr/index.gijang","2023-10-04","2023-10-31"
"60","부산광역시 해운대구청","해운대장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","해당없음","1000000원","저소득층 자녀 또는 본인으로서 품행이 단정하고 다른 학생의 모범이 되는 고등학생실직 사고 등 일시적 소득의 상실로 학업을 계속하기가 곤란하다고 인정되는 자'학교 밖 청소년 지원에 관한 법률' 제2조제2호에 해당하는 생활이 어려운 학교 밖 청소년","해운대구에 계속하여 1년 이상 거주하고 주민등록이 되어 있는 사람","해당없음","해당 연도 기금 운용이자 수익금 범위에서 장학금 지급인원 및 지급금액 정함","해당없음","해당없음"," * 해운대구 장학금 관련 서식 참고장학금 신청서","https://www.haeundae.go.kr/","2023-04-12","2023-04-21"
"61","부평구청","저소득고등학생장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","일반장학금 : 2022년 성적 중 과목 원점수가 70점 이상인 과목이 전체 과목수의 50% 이상인 자","생계 의료급여 수급자","1인 500000원","특별장학금 : 2022년 및 2023년 기능체육예능 대회에서 입상한 자","부평구에 실제 거주하는 고등학교 재학생","해당없음","00명","1가구 1명2023년 타 장학금 기 수령자 제외(국가나 다른 기관·단체 장학금 등  일체)","해당없음","장학금신청서재학증명서주민등록초본성적증명서(일반)봉사활동확인서(일반)입상증명서류(특별)","https://www.icbp.go.kr","2023-03-13","2023-04-07"
"62","울산광역시 울주군청","저소득자녀장학금","지자체","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","재적 학년 정원의 50/100 이내인 자","기초수급자 차상위계층 등","600000원~800000원","중학교 23학년 및 고등학생","울주군에 주소를 둔 저소득 주민 자녀","학교장이 장학생 추천서를 행정복지센터에 제출하면 읍면장이 추천 학생들의 가정사항을 확인 후 울주군 생활보장위원회의 심의 의결을 거쳐 선발","30명","국가 지방자치단체 등 타 기관에서 장학금을 받은 경우 중복수혜 불가","읍면장 또는 학교장 추천","장학생추천서성적증명서통장사본해당자 서류","https://www.ulju.ulsan.kr/","2023-05-18","2023-06-09"
"63","경기도 동두천시청","다자녀장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원","관내 고등학교 신입생학생본인이 둘째아 이상","2022.5.4부터 신청일 현재 동두천시에 1년 이상 주소를 두고 계속 거주하는 학생","해당없음","100명","위 선발기준에 적합하지 않은 학생","재학 중인 학교에서 일괄 추천","장학생 신청서개인정보이용동의서가족관계증명서","https://www.ddc.go.kr/ddc/index.do","2023-05-15","2023-05-31"
"64","경기도 광주시청","귀뚜라미그룹 장학금","지자체","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","국민기초생활수급자의 자녀 또는 본인법정 차상위계층의 자녀 또는 본인중위소득 100% 이하의 자녀 또는 본인","1000000원","광주시 관내 생활이 어려운 고등학생","신청일 기준 광주시에 2년 이상 주민등록을 둔 국내 고등학생"," * 선발 기준타 장학금 수혜 여부저소득층 * 조손·한부모가정 다문화가정 위탁가정 다자녀가구 북한이탈주민 청소년 우선지원 * 자세한 사항은 첨부파일 참고","20명","해당없음","해당없음","신청서개인정보 동의서주민등록등본통장 사본재학증명서성적증명서기타 증빙서류 * 자세한 사항은 첨부파일 참고","https://www.gjcity.go.kr","2022-09-19","2022-09-30"
"65","경기도 가평군청","으뜸장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","1학년/2학년/3학년/제한없음","직전 학년도 학업성적 평균 점수가 85점 이상인 학생 * 예체능 점수 제외","해당없음","600000원 ","해당없음","장학생 선발계획 공고일 현재 가평군 관내에 3년 이상 주소를 두고 계속 거주한 군민 또는 그 자녀로서  고등학교에 진학 또는 재학중인 학생","학업성적 95점 + 재산상황 5점 * 가산점 부여 항목 및 자세한 사항은 첨부파일 참고","17명","가평군 장학생 선발 자격에 적합하지 않은 학생선발 자격요건을 갖춘 학생이라도 국가·지방자치단체 학교 그 밖의 다른 기관으로부터 장학금을 받고 있는 대학생해당 연도 군에서 선발·추천하는 서울지역 장학관 입사생 * 자세한 사항은 첨부파일 참고","해당없음","장학생 신청서성적증명서복학(예정)증명서가족관계증명서2023학년도 등록금 납부영수증 또는 고지서부모의 건강보험료 납부확인서주민등록 등·초본 * 자세한 사항은 첨부파일 참고","http://www.gp.go.kr/portal/index.do","2023-02-22","2023-03-17"
"66","경기도 가평군청","특기장학생","지자체","장학금","특기자","예술고/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","600000원","직전 학년도 도단위 이상의 예능·체능·기능 및 문학 대회에서 3위 이내로 입상한 고등학생 ","장학생 선발계획 공고일 현재 가평군 관내에 3년 이상 주소를 두고 계속 거주한 군민 또는 그 자녀로서  고등학교에 진학 또는 재학중인 학생","입상성적 80점 + 학업성적 15점 + 재산상황 5점","3명","가평군 장학생 선발 자격에 적합하지 않은 학생선발 자격요건을 갖춘 학생이라도 국가·지방자치단체 학교 그 밖의 다른 기관으로부터 장학금을 받고 있는 대학생해당 연도 군에서 선발·추천하는 서울지역 장학관 입사생 * 자세한 사항은 첨부파일 참고","해당없음","장학생 신청서성적증명서복학(예정)증명서가족관계증명서2023학년도 등록금 납부영수증 또는 고지서입상증명서부모의 건강보험료 납부확인서주민등록 등·초본 * 자세한 사항은 첨부파일 참고","http://www.gp.go.kr/portal/index.do","2023-02-22","2023-03-17"
"67","경기도 가평군청","복지장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","1학년/2학년/3학년/제한없음","직전 학년도 학업성적 평균 점수가 60점 이상인 학생","국민기초생활보장법에 따른 수급권자와 차상위계층 소년소녀가장 한부모 가정으로 책정되어 보호받고 있는 군민 또는 자녀","600000원","국민기초생활보장법에 따른 수급권자와 차상위계층 소년소녀가장 한부모 가정으로 책정되어 보호받고 있는 군민 또는 자녀","장학생 선발계획 공고일 현재 가평군 관내에 3년 이상 주소를 두고 계속 거주한 군민 또는 그 자녀로서  고등학교에 진학 또는 재학중인 학생","보호대상 50점 + 학업성적 50점 * 가산점 부여 항목 및 자세한 사항은 첨부파일 참고","20명","가평군 장학생 선발 자격에 적합하지 않은 학생선발 자격요건을 갖춘 학생이라도 국가·지방자치단체 학교 그 밖의 다른 기관으로부터 장학금을 받고 있는 대학생해당 연도 군에서 선발·추천하는 서울지역 장학관 입사생 * 자세한 사항은 첨부파일 참고","해당없음","장학생 신청서성적증명서복학(예정)증명서가족관계증명서(해당자)2023학년도 등록금 납부영수증 또는 고지서보호대상자 법적증명서주민등록 등·초본 * 자세한 사항은 첨부파일 참고","http://www.gp.go.kr/portal/index.do","2023-02-22","2023-03-17"
"68","경기도 가평군청","환경장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","해당없음","직전 학년도 학업성적 평균 점수가 70점 이상인 학생","해당없음","600000원","공고일 현재 상수원관리지역 내 토지 또는 건축물을 소유하거나 3년 이상 주소를 두고 계속 거주한 군민 또는 그 자녀 * 자세한 사항은 첨부파일 참고","장학생 선발계획 공고일 현재 가평군 관내에 3년 이상 주소를 두고 계속 거주한 군민 또는 그 자녀로서 고등학교에 진학 또는 재학중인 학생","상수원관리지역 거주기간 50점 + 학업성적 45점 + 재산상황 5점 * 가산점 부여 항목 및 자세한 사항은 첨부파일 참고","20명","가평군 장학생 선발 자격에 적합하지 않은 학생선발 자격요건을 갖춘 학생이라도 국가·지방자치단체 학교 그 밖의 다른 기관으로부터 장학금을 받고 있는 대학생해당 연도 군에서 선발·추천하는 서울지역 장학관 입사생 * 자세한 사항은 첨부파일 참고","해당없음","장학생 신청서성적증명서복학(예정)증명서가족관계증명서(해당자)2023학년도 등록금 납부영수증 또는 고지서상수원관리지역 내 거주 또는 토지(건축불)를 소유하고 있음을 증명하는 서류부모의 건강보험료 납부확인서주민등록 등·초본 * 자세한 사항은 첨부파일 참고","http://www.gp.go.kr/portal/index.do","2023-02-22","2023-03-17"
"69","경기도 연천군청","향토장학생(선/효행)","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","해당없음","해당없음","800000원","관내관외 고등학생효행이나 선행으로 군 단위 이상 기관에서 표창을 받거나 언론 등에 보도된 학생","공고일 현재 군 관내에 주소를 두고 1년 이상 거주하고 있는 군민 또는 그 자녀","선행 및 효행장학생 특기 장학생은 위원회 심의로 선발","1명","고등학생 학생 중 장학금 등을 지원받는 학생2023년도 경기푸른미래관 경기도 송파학사 연천군 장학관 입사생2023년도 경기도민회 장학생산업체 위탁교육생","해당없음","장학생 신청서주민등록 등본 또는 초본2023년도 1학기분 등록금 납부 영수증재학증명서선행 및 효행 관련 상장 및 신문보도 ","https://www.yeoncheon.go.kr/index.yeoncheon","2023-04-10","2023-04-28"
